0.0246	0
0.0491	-0.0178
0.0737	-0.136
0.0983	0.0891
0.123	0.00924
0.147	-0.158
0.172	-0.146
0.197	0.125
0.221	-0.0214
0.246	-0.0513
0.27	-0.064
0.295	0.00959
0.319	0.0451
0.344	-0.101
0.369	-0.0431
0.393	-0.0107
0.418	-0.0178
0.442	-0.00799
0.467	-0.0422
0.491	-0.0416
0.516	-0.00575
0.541	-0.0386
0.565	-0.0552
0.59	-0.0255
0.614	-0.0399
0.639	0.00967
0.663	-0.0569
0.688	-0.0694
0.713	-0.0255
0.737	-0.0381
0.762	-0.0084
0.786	-0.0385
0.811	-0.0539
0.835	-0.0285
0.86	-0.0475
0.885	-0.045
0.909	-0.034
0.934	-0.0363
0.958	-0.0619
0.983	-0.0262
1.01	-0.0254
1.03	-0.029
1.06	-0.0655
1.08	-0.0489
1.11	-0.0314
1.13	-0.0654
1.15	-0.0287
1.18	-0.0376
1.2	-0.0352
1.23	-0.0268
1.25	-0.0525
1.28	-0.0328
1.3	-0.0236
1.33	-0.0403
1.35	-0.0332
1.38	-0.0352
