151001	143.244	1297.9851
151002	143.23921	1297.9777
151003	143.25132	1297.9763
151004	143.23709	1298.0006
151005	143.23313	1297.9667
151006	143.23842	1297.9788
151007	143.23754	1297.9648
151008	143.2265	1297.978
151009	143.23493	1297.9862
151010	143.23176	1297.973
151011	143.23583	1297.969
151012	143.24406	1297.9712
151013	143.23542	1297.9684
151014	143.24324	1297.9638
151015	143.22776	1297.958
151016	143.22649	1297.9688
151017	143.2232	1297.9578
151018	143.23592	1297.9669
151019	143.23889	1297.9718
151020	143.24543	1297.978
151021	143.2378	1297.963
151022	143.2411	1297.9885
151023	143.24228	1297.9738
151024	143.23623	1297.9641
151025	143.22994	1297.9746
151026	143.23026	1297.9821
151027	143.24759	1297.9859
151028	143.24247	1297.9768
151029	143.15661	1298.0569
151030	143.16722	1298.1981
151031	143.23497	1297.8301
151032	143.48851	1297.8851
151033	143.19249	1297.9956
151034	143.21106	1298.0402
151035	143.29696	1298.0455
151036	143.16069	1297.8511
151037	143.31462	1298.0971
151038	143.16191	1297.9795
151039	143.39611	1297.8964
151040	143.2579	1297.9777
151041	143.26217	1297.9777
151042	143.26098	1297.9777
151043	143.25737	1297.9777
151044	143.3552	1297.9172
151045	143.23699	1297.9532
151046	143.31086	1298.0112
151047	143.17761	1298.0126
151048	143.24681	1298.0248
151049	143.29957	1297.9489
151050	143.24055	1297.9374
151051	143.32018	1297.9964
151052	143.1926	1297.9484
151053	143.2699	1298.0315
151054	143.22089	1297.9714
151055	143.25106	1297.9791
151056	143.31595	1297.984
151057	143.24355	1297.9252
151058	143.26128	1297.9965
151059	143.24315	1298.0095
151060	143.2406	1297.9849
151061	143.27026	1297.9679
151062	143.29119	1297.9573
151063	143.23647	1297.966
151064	143.26328	1297.9887
151065	143.22824	1297.9948
151066	143.25738	1297.9732
151067	143.29011	1297.9746
151068	143.2555	1297.9382
151069	143.30556	1298.0014
151070	143.22561	1297.9814
151071	143.26412	1297.9943
151072	143.25505	1297.9871
151073	143.25765	1297.9451
151074	143.28886	1297.9872
151075	143.25049	1297.975
151076	143.26497	1297.9897
151077	143.23321	1298.0028
151078	143.28365	1297.9796
151079	143.25292	1297.9655
151080	143.25437	1297.9675
151081	143.26014	1297.9785
151082	143.23151	1298.0033
151083	143.26568	1297.9904
151084	143.2519	1297.9647
151085	143.27428	1297.9643
151086	143.24876	1297.9645
151087	143.245	1297.991
151088	143.24341	1297.9795
151089	143.25609	1297.9886
151090	143.27271	1297.9779
151091	143.27559	1297.9693
151092	143.2722	1297.9873
151093	143.24552	1297.9992
151094	143.26344	1297.9989
151095	143.24848	1297.9858
161001	400.6409	1137.9371
161002	400.63966	1137.9341
161003	400.65393	1137.9228
161004	400.63959	1137.9276
161005	400.63164	1137.9341
161006	400.64214	1137.9355
161007	400.63571	1137.9461
161008	400.62431	1137.9421
161009	400.63411	1137.9469
161010	400.63204	1137.9309
161011	400.6288	1137.9452
161012	400.6422	1137.9386
161013	400.63907	1137.9366
161014	400.64477	1137.9478
161015	400.62876	1137.9417
161016	400.62682	1137.9421
161017	400.61568	1137.943
161018	400.63352	1137.949
161019	400.64267	1137.9333
161020	400.63844	1137.938
161021	400.63334	1137.9391
161022	400.64402	1137.9399
161023	400.63635	1137.9364
161024	400.63486	1137.9387
161025	400.63449	1137.9346
161026	400.62797	1137.9308
161027	400.64342	1137.957
161028	400.63631	1137.9455
161029	400.55281	1138.0042
161030	400.56129	1138.1561
161031	400.63385	1137.8121
161032	400.88334	1137.8472
161033	400.58562	1137.9751
161034	400.60414	1138.0159
161035	400.6885	1138.0288
161036	400.55953	1137.8271
161037	400.71559	1138.0621
161038	400.55669	1137.9528
161039	400.79563	1137.8843
161040	400.65815	1137.9251
161041	400.65917	1137.9251
161042	400.66022	1137.9251
161043	400.65888	1137.9251
161044	400.75192	1137.8748
161045	400.63532	1137.9131
161046	400.70155	1137.9743
161047	400.58207	1137.9636
161048	400.64563	1137.9553
161049	400.69269	1137.8946
161050	400.63588	1137.9266
161051	400.71869	1137.9583
161052	400.59466	1137.9138
161053	400.66243	1137.9904
161054	400.61923	1137.9415
161055	400.64216	1137.9471
161056	400.71854	1137.9541
161057	400.64523	1137.9234
161058	400.65744	1137.971
161059	400.64092	1137.9615
161060	400.63906	1137.9453
161061	400.66387	1137.9454
161062	400.6816	1137.9238
161063	400.63705	1137.9346
161064	400.65909	1137.9586
161065	400.62274	1137.9485
161066	400.6519	1137.9316
161067	400.68946	1137.9481
161068	400.65423	1137.9103
161069	400.70491	1137.9598
161070	400.62338	1137.9474
161071	400.65835	1137.9712
161072	400.65185	1137.9488
161073	400.65389	1137.9337
161074	400.67899	1137.9558
161075	400.64568	1137.9464
161076	400.66225	1137.9706
161077	400.62807	1137.963
161078	400.67664	1137.9475
161079	400.65139	1137.9411
161080	400.65112	1137.9562
161081	400.65115	1137.9609
161082	400.63014	1137.9585
161083	400.66153	1137.9682
161084	400.65334	1137.9364
161085	400.6724	1137.9587
161086	400.64999	1137.9395
161087	400.64427	1137.9546
161088	400.64348	1137.9495
161089	400.65517	1137.9429
161090	400.6733	1137.9328
161091	400.67228	1137.929
161092	400.6626	1137.944
161093	400.6436	1137.9497
161094	400.65876	1137.9514
161095	400.64413	1137.9434
171001	634.0279	1299.2251
171002	634.02226	1299.2267
171003	634.03639	1299.2206
171004	634.02328	1299.2154
171005	634.01729	1299.2247
171006	634.02495	1299.2292
171007	634.02674	1299.2193
171008	634.01451	1299.2227
171009	634.02015	1299.2268
171010	634.01665	1299.2254
171011	634.01844	1299.2282
